,Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code,Idx
506,قاسم,قاسم ایران,فرابورس,بازار دوم فرابورس,خرده فروشی،باستثنای وسایل نقلیه موتوری,خرده فروشی موادغذایی در فروشگاههای تخصصی,-,Ghassem Co.,IRO3GASZ0009,GASZ,GASZ1,IRO3GASZ0001,47,4721,3,1507
507,قچار,فراوردههای غذایی وقند چهارمحال,فرابورس,بازار اول فرابورس,قند و شکر,تولید شکر,-,ChaharMahal,IRO3CHRZ0007,CHRZ,CHRZ1,IRO3CHRZ0001,38,3842,1,1508
508,قشیر,قند شیروان قوچان و بجنورد,فرابورس,بازار اول فرابورس,قند و شکر,تولید شکر,-,Ghand Shirvan,IRO3GHSZ0002,GHSZ,GHSZ1,IRO3GHSZ0001,38,3842,1,1509
509,کاسپین,داروسازی کاسپین تامین,فرابورس,بازار دوم فرابورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Kaspian Daroo,IRO3KSPZ0006,KSPZ,KSPZ1,IRO3KSPZ0001,43,4323,3,1510
510,کایزد,فرانسوز یزد,فرابورس,بازار دوم فرابورس,سایر محصولات کانی غیرفلزی,تولید محصولات سرامیکی نسوز,-,Yazd Faranasooz,IRO3YAFZ0002,YAFZ,YAFZ1,IRO3YAFZ0001,54,5492,3,1511
511,کپرور,فرآوری زغال سنگ پروده طبس,فرابورس,بازار دوم فرابورس,استخراج زغال سنگ,استخراج و انبار زغال سنگ سخت,-,Tabas Company,IRO3TBSZ0003,TBSZ,TBSZ1,IRO3TBSZ0001,10,1010,3,1512
512,کتوکا,تولیدی و خدمات صنایع نسوز توکا,فرابورس,بازار اول فرابورس,سایر محصولات کانی غیرفلزی,تولید محصولات سرامیکی نسوز,-,TUKA Co.,IRO3TUKZ0008,TUKZ,TUKZ1,IRO3TUKZ0001,54,5492,1,1513
513,کرمان,س. توسعه وعمران استان کرمان,فرابورس,بازار اول فرابورس,انبوه سازی، املاک و مستغلات,املاک و مستغلات با ملک خود یا لیزینگ شده,-,Kerman Invest,IRO3KRMZ0000,KRMZ,KRMZ1,IRO3KRMZ0001,70,7010,1,1514
514,کزغال,زغال سنگ پروده طبس,فرابورس,بازار اول فرابورس,استخراج زغال سنگ,استخراج و انبار زغال سنگ سخت,-,TabasParvadeh Coal,IRO3TPCZ0005,TPCZ,TPCZ1,IRO3TPCZ0001,10,1010,1,1515
515,کشرق,صنعتی و معدنی شمال شرق شاهرود,فرابورس,بازار اول فرابورس,استخراج زغال سنگ,استخراج و انبار زغال سنگ سخت,-,Shahrood N.E.,IRO3KSGZ0007,KSGZ,KSGZ1,IRO3KSGZ0001,10,1010,1,1516
516,کگهر,سنگ آهن گهرزمین,فرابورس,بازار دوم فرابورس,استخراج کانه های فلزی,استخراج آهن,-,Gohar Zamin Iron,IRO3GZIZ0002,GZIZ,GZIZ1,IRO3GZIZ0001,13,1310,3,1517
517,کلر,کلر پارس,فرابورس,بازار اول فرابورس,محصولات شیمیایی,تولید مواد شیمیایی پایه به جز کود,-,Chlor Pars,IRO3CHPZ0009,CHPZ,CHPZ1,IRO3CHPZ0001,44,4411,1,1518
518,کمرجان,بازرگانی و تولیدی مرجان کار,فرابورس,بازار اول فرابورس,سایر محصولات کانی غیرفلزی,تولید محصولات بتنی، سیمانی و گچ,-,Marjan Kar,IRO3MRJZ0003,MRJZ,MRJZ1,IRO3MRJZ0001,54,5495,1,1519
519,کوثر,بیمه کوثر,فرابورس,بازار دوم فرابورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,فعالیتهای مالی و اجرائی,-,Kosar Ins.,IRO3BKSZ0002,BKSZ,BKSZ1,IRO3BKSZ0001,66,6611,3,1520
